,0,1
0,파수닷컴,-1
1,파수닷컴,94
2,파수닷컴,-1
3,파수닷컴,100
4,파수닷컴,100
5,파수닷컴,-1
6,파수닷컴,100
7,파수닷컴,100
8,파수닷컴,-1
9,파수닷컴,100
10,파수닷컴,100
11,파수닷컴,-1
12,파수닷컴,100
13,파수닷컴,-1
14,파수닷컴,100
15,파수닷컴,-1
16,파수닷컴,100
17,파수닷컴,100
18,파수닷컴,100
19,파수닷컴,100
20,파수닷컴,-1
21,파수닷컴,100
22,파수닷컴,-1
23,파수닷컴,-1
24,파수닷컴,50
25,파수닷컴,84
26,파수닷컴,100
27,파수닷컴,96
28,파수닷컴,100
29,파수닷컴,100
30,파수닷컴,100
31,파수닷컴,1
32,파수닷컴,100
33,파수닷컴,100
34,파수닷컴,-1
35,파수닷컴,100
36,파수닷컴,92
37,파수닷컴,100
38,파수닷컴,1
39,파수닷컴,98
40,파수닷컴,100
41,파수닷컴,100
42,파수닷컴,100
43,파수닷컴,100
